        15   1307504      -64.3102435734        3.3369346185
        14   1961256      -63.6577513614        3.1963806930
        16    735471      -63.3036843526        3.8331929012
        13   2496144      -62.8059234530        3.1358880427
        12   2704156      -61.9008713354        3.0940194840
        11   2496144      -60.5478680791        3.0845087029
        17    346104      -60.0749592413        4.1509487896
        10   1961256      -59.1883830110        3.0737276573
         9   1307504      -57.5871365810        3.0488580764
        18    134596      -56.0412505957        4.3014495550
         8    735471      -55.9258112670        3.0019219837
         7    346104      -54.1351428656        2.9355381158
         6    134596      -52.2493104853        2.8670207626
        19     42504      -49.4940288358        4.3598448889
         5     42504      -47.0662548978        2.7816854267
        20     10626      -42.8649628559        4.4255612211
         4     10626      -41.6864513668        2.6689003108
        21      2024      -36.0577997822        4.5156729946
         3      2024      -35.6653185565        2.4764716367
        22       276      -28.9907407061        4.6599457868
         2       276      -27.6240276382        1.8546459390
